2025-05-14 19:14:58.353035: 온도: 19°C, 습도: 60%, 날씨: 흐림, 강수량: 강수없음mm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 85%, 날씨: 비옴, 강수량: 1.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 빗방울, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 빗방울, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 빗방울, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 1mm 미만mm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
온도: 20°C, 습도: 80%, 날씨: 비옴, 강수량: 2.0mmmm, 적설량: Nonecm
